sure_no;standart_sure_ad;video_baslik;mufessir;youtube_video_id;thumbnail_url;video_thumbnail_url
80;Abese;Abese Suresi Tefsiri 1 Alaeddin Palevi Hoca;Alâeddin Palevi;tovmrdE2ibE;;https://i.ytimg.com/vi/tovmrdE2ibE/default.jpg
80;Abese;Abese Suresi  Tefsiri 2 Alaeddin Palevi Hoca;Alâeddin Palevi;At66iXZeEog;;https://i.ytimg.com/vi/At66iXZeEog/default.jpg
80;Abese;Ali Küçük Abese Suresi Tefsir Dersi;Ali Küçük;tof1sjfPUmI;;https://i.ytimg.com/vi/tof1sjfPUmI/default.jpg
80;Abese;20Abese;Mehmet Özçelik;Ng_WM0JniJI;;https://i.ytimg.com/vi/Ng_WM0JniJI/default.jpg
80;Abese;13AbeseNaziatwww.Tesbitler.Com   www.Mehmetözçelik.Com;Mehmet Özçelik;Eesk3AOBfuI;;https://i.ytimg.com/vi/Eesk3AOBfuI/default.jpg
80;Abese;1) Abese Suresi 1. Âyet Celaleyn Tefsiri  Molla Selahaddin Atalay  Huzur Medreseleri;Molla Selahaddin Atalay;9Upb5KC1_wI;;https://i.ytimg.com/vi/9Upb5KC1_wI/default.jpg
80;Abese;2) Abese Suresi 23. Âyet Celaleyn Tefsiri  Molla Selahaddin Atalay  Huzur Medreseleri;Molla Selahaddin Atalay;pnjHCV32ySs;;https://i.ytimg.com/vi/pnjHCV32ySs/default.jpg
80;Abese;Abese Suresi Tefsiri ? Ebu Ubeyde;Ebu Ubeyde;pmzoKHQKne8;;https://i.ytimg.com/vi/pmzoKHQKne8/default.jpg
80;Abese;Fizilalil Kuran Tefsiri  205 Abese Suresi;Seyyid Kutub;bh1RiQnksJ4;;https://i.ytimg.com/vi/bh1RiQnksJ4/default.jpg
80;Abese;80 Abese Suresi Tefsiri;Süleyman Ramazanoğlu;4hqfTNDZOPw;;https://i.ytimg.com/vi/4hqfTNDZOPw/default.jpg
80;Abese;Kuranın Dilinden 158.Bölüm  (Abese Suresi);Prof. Dr. Mehmet Ünal;hYXmJ4r2n20;;https://i.ytimg.com/vi/hYXmJ4r2n20/default.jpg
80;Abese;107 Abese Mahamud Kaya;Mahmud Kaya;wzIOW7Lt3I;;https://i.ytimg.com/vi/wzIOW7Lt3I/default.jpg
80;Abese;108 Abese Mahamud Kaya;Mahmud Kaya;WKKYFCbuYc;;https://i.ytimg.com/vi/WKKYFCbuYc/default.jpg
